Index,Protein Name,Protein Id,Antibody Id,Reliability Verification,Tissue,Organ,Staining Level,Intensity Level,Quantity,locations,URL,Cytoplasm,Golgi Apparatus,Mitochondria,Nucleus,Endoplasmic Reticulum,Plasma Membrane,Vesicles,Cytoskeleton,Nucleoli,Lysosomes
6454,ZC3H15,ENSG00000065548,HPA031099,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/66952_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6670,LDHB,ENSG00000111716,HPA019007,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43808_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
5965,OXSR1,ENSG00000172939,CAB017181,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/37946_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
7296,SAMD4B,ENSG00000179134,HPA016800,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/38759_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6057,EIF3J,ENSG00000104131,HPA050977,approved,Liver,Liver & gallbladder,medium;not detected,moderate;weak,>75%;<25%,Cytoplasm,dataset/HPA-18/Cytoplasm/121025_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6530,KIAA0753,ENSG00000198920,HPA023057,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/50726_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6966,PKM,ENSG00000067225,HPA029501,uncertain,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/60955_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6709,TUBA4A,ENSG00000127824,CAB004621,approved,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/18112_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6922,ZC3H15,ENSG00000065548,HPA031099,enhanced,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/66952_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
7239,IRF6,ENSG00000117595,HPA063121,enhanced,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/154587_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6790,CNN3,ENSG00000117519,CAB009849,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/27252_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6863,SHC1,ENSG00000160691,CAB016305,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/36379_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6518,KLHDC8B,ENSG00000185909,HPA008463,approved,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/23738_A_7_4.jpg,1,0,0,0,0,0,0,0,0,0
6754,PFDN2,ENSG00000143256,HPA028700,approved,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/66983_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6084,CARS1,ENSG00000110619,CAB075736,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/159323_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6297,CARS1,ENSG00000110619,CAB075735,supported,Breast,Female tissues,medium;medium;low,moderate;moderate;weak,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/159319_B_1_4.jpg,1,0,0,0,0,0,0,0,0,0
7238,TIGAR,ENSG00000078237,HPA040354,approved,Liver,Liver & gallbladder,high;high,strong;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/106310_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
7066,MAPK6,ENSG00000069956,CAB005184,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/13370_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6163,ST13,ENSG00000100380,HPA047114,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/126042_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
