,Protein Name,Protein Id,Antibody Id,Reliability Verification,Tissue,Organ,Staining Level,Intensity Level,Quantity,SnomedParameters,URL,IF Verification,locations,IF Organ,cytoplasm,cytoskeleton,endoplasmic reticulum,golgi apparatus,lysosomes,mitochondria,nucleoli,nucleus,plasma membrane,vesicles,Pair Idx
8077,RBM5,ENSG00000003756,HPA017335,approved,Caudate,Brain,low;high,weak;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA017335/40749_B_9_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3138
8078,RBM5,ENSG00000003756,HPA017335,approved,Caudate,Brain,low;high,weak;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA017335/40749_B_8_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3138
8079,RBM5,ENSG00000003756,HPA017335,approved,Caudate,Brain,low;high,weak;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA017335/40749_B_7_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3138
8080,RBM5,ENSG00000003756,HPA017335,approved,Cerebellum,Brain,medium;high;medium,moderate;strong;moderate,75%-25%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA017335/40749_B_7_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3139
8081,RBM5,ENSG00000003756,HPA017335,approved,Cerebellum,Brain,medium;high;medium,moderate;strong;moderate,75%-25%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA017335/40749_B_9_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3139
8082,RBM5,ENSG00000003756,HPA017335,approved,Cerebellum,Brain,medium;high;medium,moderate;strong;moderate,75%-25%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA017335/40749_B_8_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3139
8083,RBM5,ENSG00000003756,HPA017335,approved,Cerebral cortex,Brain,not detected;high;high;not detected,negative;strong;strong;negative,none;75%-25%;>75%;none,"Normal tissue, NOS;Cerebral cortex",ENSG00000003756/Brain/Cerebral cortex/HPA017335/40749_B_7_5.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3140
8084,RBM5,ENSG00000003756,HPA017335,approved,Cerebral cortex,Brain,not detected;high;high;not detected,negative;strong;strong;negative,none;75%-25%;>75%;none,"Normal tissue, NOS;Cerebral cortex",ENSG00000003756/Brain/Cerebral cortex/HPA017335/40749_B_9_5.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3140
8111,RBM5,ENSG00000003756,HPA017335,approved,Hippocampus,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA017335/40749_B_9_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3151
8112,RBM5,ENSG00000003756,HPA017335,approved,Hippocampus,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA017335/40749_B_8_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3151
